# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,62,80,0,360
1,0,74,80,0,360
1,0,62,80,360,480
1,0,74,80,360,480
1,0,62,80,480,720
1,0,74,80,480,720
1,0,62,80,720,1080
1,0,74,80,720,1080
1,0,62,80,1080,1200
1,0,74,80,1080,1200
1,0,62,80,1200,1440
1,0,74,80,1200,1440
2,0,39,80,1440,2160
2,0,43,80,1440,2160
2,0,46,80,1440,2160
2,0,51,80,1440,2160
1,0,70,80,1440,2160
1,0,73,80,1440,2160
1,0,79,80,1440,2160
1,0,82,80,1440,2160
1,0,62,80,2160,2520
1,0,74,80,2160,2520
1,0,62,80,2520,2640
1,0,74,80,2520,2640
1,0,62,80,2640,2880
1,0,74,80,2640,2880
1,0,62,80,2880,3240
1,0,74,80,2880,3240
1,0,62,80,3240,3360
1,0,74,80,3240,3360
1,0,62,80,3360,3600
1,0,74,80,3360,3600
2,0,39,80,3600,4320
2,0,43,80,3600,4320
2,0,46,80,3600,4320
2,0,51,80,3600,4320
1,0,70,80,3600,4320
1,0,73,80,3600,4320
1,0,79,80,3600,4320
1,0,82,80,3600,4320
1,0,62,80,4320,4680
1,0,74,80,4320,4680
1,0,62,80,4680,4800
1,0,74,80,4680,4800
1,0,62,80,4800,5040
1,0,74,80,4800,5040
1,0,62,80,5040,5400
1,0,74,80,5040,5400
1,0,62,80,5400,5520
1,0,74,80,5400,5520
1,0,62,80,5520,5760
1,0,74,80,5520,5760
1,0,62,80,5760,6480
1,0,74,80,5760,6120
1,0,74,80,6120,6240
1,0,74,80,6240,6480
2,0,38,80,6480,7200
2,0,50,80,6480,7200
1,0,62,80,6480,6840
1,0,66,80,6480,6720
