# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,750000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
1,0,69,80,0,96
1,0,71,80,96,192
1,0,73,80,192,288
1,0,74,80,288,384
1,0,69,80,384,480
1,0,65,80,480,576
1,0,69,80,576,672
1,0,62,80,672,768
2,0,50,80,768,864
1,0,77,80,768,864
2,0,53,80,864,960
1,0,76,80,864,960
2,0,55,80,960,1056
1,0,74,80,960,1056
2,0,57,80,1056,1152
1,0,73,80,1056,1248
2,0,52,80,1152,1248
2,0,49,80,1248,1344
1,0,69,80,1248,1440
2,0,52,80,1344,1440
2,0,45,80,1440,1632
1,0,76,80,1536,1632
2,0,57,80,1632,1824
1,0,81,80,1632,1728
1,0,73,80,1728,1824
2,0,59,80,1824,2016
1,0,74,80,1824,1920
1,0,79,80,1920,2016
2,0,62,80,2016,2208
1,0,77,80,2016,2112
1,0,79,80,2112,2208
2,0,61,80,2208,2400
1,0,76,80,2208,2304
1,0,81,80,2304,2400
2,0,57,80,2400,2592
1,0,79,80,2400,2496
1,0,81,80,2496,2592
2,0,62,80,2592,2688
1,0,77,80,2592,2784
2,0,57,80,2688,2784
2,0,53,80,2784,2880
1,0,74,80,2784,2976
2,0,57,80,2880,2976
2,0,50,80,2976,3168
1,0,69,80,3072,3168
2,0,62,80,3168,3360
1,0,70,80,3168,3264
1,0,69,80,3264,3360
2,0,64,80,3360,3552
1,0,67,80,3360,3456
1,0,70,80,3456,3552
2,0,62,80,3552,3744
1,0,65,80,3552,3648
1,0,70,80,3648,3744
2,0,60,80,3744,3936
1,0,64,80,3744,3840
1,0,74,80,3840,3936
2,0,48,80,3936,4128
1,0,72,80,3936,4032
1,0,70,80,4032,4128
2,0,53,80,4128,4224
1,0,69,80,4128,4320
2,0,55,80,4224,4320
2,0,57,80,4320,4416
1,0,65,80,4320,4512
2,0,55,80,4416,4512
2,0,53,80,4512,4608
2,0,57,80,4608,4704
1,0,73,80,4608,4704
2,0,52,80,4704,4800
1,0,74,80,4704,4800
2,0,57,80,4800,4896
1,0,76,80,4800,4896
2,0,50,80,4896,5088
1,0,77,80,4896,4992
1,0,76,80,4992,5088
2,0,52,80,5088,5280
1,0,74,80,5088,5184
1,0,77,80,5184,5280
2,0,53,80,5280,5472
1,0,71,80,5280,5376
1,0,77,80,5376,5472
2,0,50,80,5472,5664
1,0,69,80,5472,5568
1,0,77,80,5568,5664
2,0,52,80,5664,5760
1,0,68,80,5664,5760
2,0,53,80,5760,5856
1,0,71,80,5760,5856
2,0,52,80,5856,5952
1,0,72,80,5856,5952
2,0,50,80,5952,6048
1,0,74,80,5952,6048
2,0,49,80,6048,6144
1,0,76,80,6048,6240
2,0,52,80,6144,6240
2,0,57,80,6240,6336
1,0,67,80,6240,6432
2,0,49,80,6336,6432
2,0,50,80,6432,6528
1,0,66,80,6432,6528
2,0,52,80,6528,6624
1,0,69,80,6528,6624
2,0,50,80,6624,6720
1,0,71,80,6624,6720
2,0,48,80,6720,6816
1,0,72,80,6720,6816
2,0,47,80,6816,6912
1,0,74,80,6816,7008
2,0,48,80,6912,7008
2,0,47,80,7008,7104
1,0,65,80,7008,7200
2,0,45,80,7104,7200
2,0,44,80,7200,7392
1,0,64,80,7200,7296
1,0,72,80,7296,7392
2,0,52,80,7392,7584
1,0,71,80,7392,7488
1,0,74,80,7488,7584
2,0,45,80,7584,7776
1,0,72,80,7584,7680
1,0,71,80,7680,7776
2,0,47,80,7776,7968
1,0,69,80,7776,7872
1,0,68,80,7872,7968
2,0,48,80,7968,8160
1,0,69,80,7968,8064
1,0,76,80,8064,8160
2,0,50,80,8160,8352
1,0,81,80,8160,8256
1,0,72,80,8256,8352
2,0,52,80,8352,8544
1,0,71,80,8352,8448
1,0,81,80,8448,8544
2,0,40,80,8544,8736
1,0,74,80,8544,8640
1,0,80,80,8640,8736
2,0,45,80,8736,9216
1,0,81,80,8736,8832
1,0,76,80,8832,8928
1,0,73,80,8928,9024
1,0,76,80,9024,9120
2,0,33,80,9120,9216
1,0,69,80,9120,9216
1,0,81,80,9216,9312
1,0,79,80,9312,9408
1,0,81,80,9408,9504
1,0,78,80,9504,9696
2,0,62,80,9600,9696
2,0,60,80,9696,9792
1,0,74,80,9696,9888
2,0,62,80,9792,9888
2,0,59,80,9888,10080
1,0,79,80,9888,9984
1,0,74,80,9984,10080
2,0,55,80,10080,10272
1,0,71,80,10080,10176
1,0,77,80,10176,10272
2,0,60,80,10272,10368
1,0,76,80,10272,10464
2,0,55,80,10368,10464
2,0,52,80,10464,10560
1,0,72,80,10464,10656
2,0,58,80,10560,10656
2,0,57,80,10656,10848
1,0,84,80,10752,10848
2,0,52,80,10848,11040
1,0,79,80,10848,10944
1,0,82,80,10944,11040
2,0,53,80,11040,11232
1,0,81,80,11040,11136
1,0,76,80,11136,11232
2,0,45,80,11232,11424
1,0,77,80,11232,11328
1,0,69,80,11328,11424
2,0,46,80,11424,11616
1,0,67,80,11424,11520
1,0,77,80,11520,11616
2,0,48,80,11616,11808
1,0,70,80,11616,11712
1,0,76,80,11712,11808
2,0,53,80,11808,12000
1,0,77,80,11808,11904
1,0,76,80,11904,12000
1,0,77,80,12000,12096
1,0,79,80,12096,12192
2,0,54,80,12192,12288
1,0,81,80,12192,12384
2,0,57,80,12288,12384
2,0,62,80,12384,12480
1,0,69,80,12384,12576
2,0,50,80,12480,12576
2,0,55,80,12576,12672
1,0,70,80,12576,12672
2,0,57,80,12672,12768
1,0,74,80,12672,12768
2,0,55,80,12768,12864
1,0,70,80,12768,12864
2,0,54,80,12864,12960
1,0,74,80,12864,12960
2,0,52,80,12960,13056
1,0,79,80,12960,13056
2,0,55,80,13056,13152
1,0,67,80,13056,13152
2,0,60,80,13152,13248
1,0,79,80,13152,13248
2,0,48,80,13248,13344
1,0,67,80,13248,13344
2,0,53,80,13344,13440
1,0,69,80,13344,13440
2,0,55,80,13440,13536
1,0,72,80,13440,13536
2,0,53,80,13536,13632
1,0,69,80,13536,13632
2,0,52,80,13632,13728
1,0,72,80,13632,13728
2,0,50,80,13728,13824
1,0,77,80,13728,13920
2,0,53,80,13824,13920
2,0,58,80,13920,14016
1,0,65,80,13920,14112
2,0,46,80,14016,14112
2,0,52,80,14112,14208
1,0,67,80,14112,14208
2,0,53,80,14208,14304
1,0,71,80,14208,14304
2,0,52,80,14304,14400
1,0,67,80,14304,14400
2,0,50,80,14400,14496
1,0,71,80,14400,14496
2,0,49,80,14496,14592
1,0,76,80,14496,14592
2,0,52,80,14592,14688
1,0,64,80,14592,14688
2,0,57,80,14688,14784
1,0,76,80,14688,14784
2,0,45,80,14784,14880
1,0,64,80,14784,14880
2,0,50,80,14880,15072
1,0,65,80,14880,14976
1,0,69,80,14976,15072
2,0,48,80,15072,15264
1,0,65,80,15072,15168
1,0,69,80,15168,15264
2,0,46,80,15264,15456
1,0,74,80,15264,15360
1,0,77,80,15360,15456
2,0,43,80,15456,15648
1,0,76,80,15456,15552
1,0,74,80,15552,15648
2,0,45,80,15648,15744
1,0,73,80,15648,15936
2,0,57,80,15744,15840
2,0,55,80,15840,15936
2,0,57,80,15936,16032
1,0,74,80,15936,16032
2,0,53,80,16032,16128
1,0,74,80,16032,16320
2,0,57,80,16128,16224
2,0,53,80,16224,16320
2,0,57,80,16320,16416
1,0,73,80,16320,16368
1,0,74,80,16368,16416
2,0,49,80,16416,16512
1,0,76,80,16416,16608
2,0,52,80,16512,16608
2,0,57,80,16608,16704
1,0,69,80,16608,16800
2,0,52,80,16704,16800
2,0,48,80,16800,16992
1,0,76,80,16896,16992
2,0,57,80,16992,17184
1,0,78,80,16992,17088
