# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,375000
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
2,0,55,80,0,192
2,0,59,80,192,384
2,0,62,80,384,576
1,0,71,80,576,768
1,0,67,80,768,960
1,0,62,80,960,1152
2,0,55,80,1152,1344
2,0,60,80,1344,1536
2,0,64,80,1536,1728
1,0,72,80,1728,1920
1,0,67,80,1920,2112
1,0,64,80,2112,2304
2,0,55,80,2304,2496
2,0,60,80,2496,2688
2,0,66,80,2688,2880
1,0,76,80,2880,3072
1,0,72,80,3072,3264
1,0,69,80,3264,3456
2,0,55,80,3456,3648
2,0,59,80,3648,3840
2,0,67,80,3840,4032
1,0,74,80,4032,4224
1,0,71,80,4224,4416
1,0,67,80,4416,4608
2,0,55,80,4608,4800
2,0,59,80,4800,4992
2,0,67,80,4992,5184
1,0,79,80,5184,5376
1,0,74,80,5376,5568
1,0,71,80,5568,5760
1,0,59,80,5760,5952
1,0,63,80,5952,6144
1,0,67,80,6144,6336
1,0,75,80,6336,6528
1,0,71,80,6528,6720
1,0,67,80,6720,6912
1,0,60,80,6912,7104
1,0,64,80,7104,7296
1,0,67,80,7296,7488
1,0,76,80,7488,7680
1,0,72,80,7680,7872
1,0,67,80,7872,8064
1,0,59,80,8064,8256
1,0,60,80,8256,8448
1,0,64,80,8448,8640
1,0,72,80,8640,8832
1,0,67,80,8832,9024
1,0,64,80,9024,9216
2,0,57,80,9216,9408
2,0,60,80,9408,9600
2,0,64,80,9600,9792
1,0,69,80,9792,9984
1,0,64,80,9984,10176
1,0,60,80,10176,10368
2,0,55,80,10368,10560
2,0,60,80,10560,10752
2,0,64,80,10752,10944
1,0,69,80,10944,11136
1,0,64,80,11136,11328
1,0,60,80,11328,11520
2,0,54,80,11520,11712
2,0,57,80,11712,11904
2,0,62,80,11904,12096
1,0,72,80,12096,12288
1,0,69,80,12288,12480
1,0,62,80,12480,12672
2,0,56,80,12672,12864
2,0,59,80,12864,13056
2,0,62,80,13056,13248
1,0,71,80,13248,13440
1,0,65,80,13440,13632
1,0,62,80,13632,13824
2,0,57,80,13824,14016
2,0,60,80,14016,14208
2,0,64,80,14208,14400
1,0,69,80,14400,14592
1,0,64,80,14592,14784
1,0,60,80,14784,14976
2,0,48,80,14976,15168
2,0,55,80,15168,15360
2,0,57,80,15360,15552
1,0,64,80,15552,15744
1,0,57,80,15744,15936
1,0,55,80,15936,16128
2,0,50,80,16128,16320
2,0,54,80,16320,16512
2,0,57,80,16512,16704
1,0,69,80,16704,16896
1,0,62,80,16896,17088
1,0,60,80,17088,17280
2,0,50,80,17280,17472
2,0,54,80,17472,17664
2,0,58,80,17664,17856
1,0,62,80,17856,18048
1,0,66,80,18048,18240
1,0,70,80,18240,18432
2,0,55,80,18432,18624
2,0,59,80,18624,18816
2,0,62,80,18816,19008
1,0,71,80,19008,19200
1,0,67,80,19200,19392
1,0,62,80,19392,19584
2,0,55,80,19584,19776
2,0,60,80,19776,19968
2,0,64,80,19968,20160
1,0,72,80,20160,20352
1,0,67,80,20352,20544
1,0,64,80,20544,20736
2,0,55,80,20736,20928
2,0,60,80,20928,21120
2,0,66,80,21120,21312
1,0,76,80,21312,21504
1,0,72,80,21504,21696
1,0,69,80,21696,21888
2,0,55,80,21888,22080
2,0,59,80,22080,22272
2,0,67,80,22272,22464
1,0,74,80,22464,22656
1,0,71,80,22656,22848
1,0,67,80,22848,23040
2,0,55,80,23040,23232
2,0,59,80,23232,23424
2,0,67,80,23424,23616
1,0,79,80,23616,23808
1,0,74,80,23808,24000
1,0,71,80,24000,24192
1,0,59,80,24192,24384
1,0,63,80,24384,24576
1,0,67,80,24576,24768
1,0,75,80,24768,24960
1,0,71,80,24960,25152
1,0,67,80,25152,25344
1,0,60,80,25344,25536
1,0,64,80,25536,25728
1,0,67,80,25728,25920
1,0,76,80,25920,26112
1,0,72,80,26112,26304
1,0,67,80,26304,26496
1,0,59,80,26496,26688
1,0,60,80,26688,26880
1,0,64,80,26880,27072
1,0,72,80,27072,27264
1,0,67,80,27264,27456
1,0,64,80,27456,27648
2,0,57,80,27648,27840
2,0,60,80,27840,28032
2,0,64,80,28032,28224
1,0,69,80,28224,28416
1,0,64,80,28416,28608
1,0,60,80,28608,28800
2,0,55,80,28800,28992
2,0,60,80,28992,29184
2,0,64,80,29184,29376
1,0,69,80,29376,29568
1,0,64,80,29568,29760
1,0,60,80,29760,29952
2,0,54,80,29952,30144
2,0,57,80,30144,30336
2,0,62,80,30336,30528
1,0,72,80,30528,30720
1,0,69,80,30720,30912
1,0,62,80,30912,31104
2,0,56,80,31104,31296
2,0,59,80,31296,31488
2,0,62,80,31488,31680
1,0,71,80,31680,31872
1,0,65,80,31872,32064
1,0,62,80,32064,32256
2,0,57,80,32256,32448
2,0,60,80,32448,32640
2,0,64,80,32640,32832
1,0,69,80,32832,33024
1,0,64,80,33024,33216
1,0,60,80,33216,33408
2,0,48,80,33408,33600
2,0,55,80,33600,33792
2,0,57,80,33792,33984
1,0,64,80,33984,34176
1,0,57,80,34176,34368
1,0,55,80,34368,34560
2,0,50,80,34560,34752
2,0,55,80,34752,34944
2,0,57,80,34944,35136
1,0,69,80,35136,35328
1,0,62,80,35328,35520
1,0,60,80,35520,35712
2,0,50,80,35712,35904
2,0,54,80,35904,36096
2,0,57,80,36096,36288
1,0,69,80,36288,36480
1,0,62,80,36480,36672
1,0,60,80,36672,36864
2,0,50,80,36864,37056
2,0,54,80,37056,37248
2,0,60,80,37248,37440
1,0,69,80,37440,37632
1,0,62,80,37632,37824
1,0,60,80,37824,38016
2,0,50,80,38016,38208
2,0,52,80,38208,38400
2,0,60,80,38400,38592
1,0,67,80,38592,38784
1,0,62,80,38784,38976
