# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,42,80,0,720
2,0,51,80,0,720
1,0,63,80,0,720
2,0,57,80,480,720
2,0,59,80,480,720
2,0,40,80,720,1440
2,0,52,80,720,1440
1,0,64,80,720,1440
2,0,57,80,1200,1440
2,0,59,80,1200,1440
2,0,39,80,1440,2880
2,0,54,80,1440,2880
1,0,66,80,1440,2880
2,0,57,80,1920,2160
2,0,59,80,1920,2160
2,0,57,80,2160,2640
2,0,59,80,2160,2640
2,0,57,80,2640,2880
2,0,59,80,2640,2880
2,0,39,80,2880,3600
2,0,51,80,2880,3600
2,0,54,80,2880,3600
1,0,66,80,2880,3600
2,0,57,80,3360,3600
2,0,59,80,3360,3600
2,0,37,80,3600,4320
2,0,49,80,3600,4320
2,0,56,80,3600,4320
1,0,68,80,3600,4320
2,0,59,80,4080,4320
1,0,64,80,4080,4320
2,0,35,80,4320,5760
2,0,47,80,4320,5760
2,0,57,80,4320,4800
2,0,57,80,4320,5760
1,0,69,80,4320,5760
2,0,59,80,4800,5040
1,0,63,80,4800,5040
2,0,59,80,5040,5520
1,0,63,80,5040,5520
2,0,59,80,5520,5760
1,0,63,80,5520,5760
2,0,36,80,5760,6480
2,0,48,80,5760,6480
2,0,56,80,5760,6240
1,0,68,80,5760,6480
1,0,60,80,6240,6480
1,0,63,80,6240,6480
2,0,32,80,6480,7200
2,0,44,80,6480,7200
2,0,54,80,6480,6960
1,0,66,80,6480,7200
1,0,60,80,6960,7200
1,0,63,80,6960,7200
2,0,37,80,7200,7920
2,0,49,80,7200,7920
2,0,52,80,7200,7680
1,0,64,80,7200,7920
2,0,56,80,7680,7920
1,0,61,80,7680,7920
2,0,33,80,7920,8640
2,0,45,80,7920,8640
2,0,54,80,7920,8400
1,0,66,80,7920,8640
2,0,57,80,8400,8640
1,0,61,80,8400,8640
2,0,35,80,8640,9120
2,0,35,80,8640,10080
2,0,57,80,8640,9360
2,0,59,80,8640,9360
1,0,63,80,8640,9360
1,0,68,80,8640,9360
2,0,47,80,9120,9360
2,0,47,80,9360,9840
2,0,57,80,9360,9840
2,0,59,80,9360,9840
1,0,63,80,9360,9840
1,0,68,80,9360,9840
2,0,47,80,9840,10080
1,0,66,80,9840,10080
2,0,40,80,10080,11520
2,0,56,80,10080,10560
1,0,64,80,10080,10560
2,0,52,80,10560,10800
2,0,56,80,10560,10800
2,0,56,80,10560,11040
2,0,59,80,10560,10800
2,0,59,80,10560,11040
1,0,64,80,10800,11280
2,0,52,80,11280,11520
2,0,56,80,11280,11520
2,0,59,80,11280,11520
1,0,64,80,11280,11520
2,0,40,80,11520,12960
2,0,52,80,11520,12960
1,0,64,80,11520,12240
2,0,55,80,12000,12240
2,0,58,80,12000,12240
1,0,61,80,12000,12240
2,0,58,80,12240,12720
1,0,61,80,12240,12720
1,0,64,80,12240,12720
1,0,64,80,12240,12720
2,0,55,80,12720,12960
2,0,58,80,12720,12960
1,0,61,80,12720,12960
1,0,64,80,12720,12960
2,0,40,80,12960,13680
2,0,52,80,12960,13680
1,0,71,80,12960,13680
2,0,56,80,13440,13680
2,0,59,80,13440,13680
1,0,62,80,13440,13680
2,0,40,80,13680,14400
2,0,52,80,13680,14400
2,0,59,80,13680,14160
1,0,62,80,13680,14160
1,0,64,80,13680,14160
1,0,71,80,13680,14160
2,0,56,80,14160,14400
2,0,59,80,14160,14400
1,0,62,80,14160,14400
1,0,73,80,14160,14400
2,0,45,80,14400,15120
1,0,71,80,14400,15120
2,0,52,80,14880,15120
2,0,57,80,14880,15120
1,0,61,80,14880,15120
2,0,45,80,15120,15840
2,0,57,80,15120,15600
1,0,61,80,15120,15600
1,0,64,80,15120,15600
1,0,69,80,15120,15600
2,0,52,80,15600,15840
2,0,57,80,15600,15840
1,0,61,80,15600,15840
1,0,69,80,15600,15840
2,0,56,80,15840,16320
2,0,59,80,15840,16320
1,0,61,80,15840,16320
1,0,65,80,15840,16320
1,0,71,80,15840,16320
1,0,73,80,15840,16560
2,0,56,80,16320,16560
2,0,59,80,16320,16560
1,0,61,80,16320,16560
1,0,65,80,16320,16560
1,0,71,80,16320,16560
2,0,56,80,16560,17040
2,0,59,80,16560,17040
1,0,61,80,16560,17040
1,0,65,80,16560,17040
1,0,71,80,16560,17040
1,0,73,80,16560,16800
1,0,71,80,16800,17040
2,0,56,80,17040,17280
2,0,59,80,17040,17280
1,0,61,80,17040,17280
1,0,65,80,17040,17280
1,0,69,80,17040,17280
1,0,71,80,17040,17280
2,0,57,80,17280,17760
2,0,59,80,17280,17760
1,0,63,80,17280,17760
1,0,66,80,17280,17760
1,0,68,80,17280,18000
1,0,71,80,17280,17760
2,0,57,80,17760,18000
2,0,59,80,17760,18000
1,0,63,80,17760,18000
1,0,66,80,17760,18000
1,0,71,80,17760,18000
2,0,57,80,18000,18480
2,0,59,80,18000,18480
1,0,63,80,18000,18480
1,0,66,80,18000,18480
1,0,66,80,18000,18480
1,0,71,80,18000,18480
2,0,57,80,18480,18720
2,0,59,80,18480,18720
1,0,63,80,18480,18720
1,0,66,80,18480,18720
1,0,66,80,18480,18720
1,0,71,80,18480,18720
2,0,47,80,18720,19440
2,0,57,80,18720,19200
1,0,63,80,18720,19200
1,0,66,80,18720,20160
1,0,71,80,18720,19440
1,0,71,80,18720,19440
2,0,56,80,19200,19440
1,0,62,80,19200,19440
2,0,47,80,19440,19920
2,0,57,80,19440,20160
1,0,63,80,19440,20160
1,0,71,80,19440,19920
1,0,71,80,19440,19920
2,0,47,80,19920,20160
1,0,71,80,19920,20160
1,0,71,80,19920,20160
2,0,47,80,20160,20880
2,0,56,80,20160,20640
1,0,64,80,20160,20640
1,0,71,80,20160,20880
1,0,76,80,20160,20880
2,0,55,80,20640,20880
1,0,63,80,20640,20880
2,0,47,80,20880,21360
2,0,56,80,20880,21600
1,0,64,80,20880,21600
1,0,71,80,20880,21360
1,0,71,80,20880,21600
2,0,47,80,21360,21600
1,0,71,80,21360,21600
2,0,47,80,21600,22080
2,0,47,80,21600,23040
1,0,73,80,21600,22320
2,0,53,80,22080,22320
2,0,56,80,22080,22320
1,0,61,80,22080,22320
1,0,65,80,22080,22320
1,0,68,80,22080,22320
2,0,53,80,22320,22800
2,0,56,80,22320,22800
1,0,61,80,22320,22800
1,0,65,80,22320,22800
1,0,68,80,22320,22800
1,0,73,80,22320,22800
2,0,53,80,22800,23040
2,0,56,80,22800,23040
1,0,61,80,22800,23040
1,0,65,80,22800,23040
1,0,68,80,22800,23040
1,0,73,80,22800,23040
2,0,47,80,23040,23520
2,0,47,80,23040,24480
1,0,78,80,23040,23760
2,0,54,80,23520,23760
2,0,57,80,23520,23760
1,0,66,80,23520,23760
2,0,54,80,23760,24240
2,0,57,80,23760,24240
1,0,66,80,23760,24240
1,0,73,80,23760,24480
2,0,54,80,24240,24480
2,0,57,80,24240,24480
1,0,66,80,24240,24480
2,0,47,80,24480,24960
2,0,47,80,24480,25920
1,0,75,80,24480,24960
1,0,75,80,24480,25200
1,0,75,80,24480,25200
2,0,55,80,24960,25200
2,0,58,80,24960,25200
1,0,63,80,24960,25200
1,0,70,80,24960,25200
2,0,55,80,25200,25680
2,0,58,80,25200,25680
1,0,63,80,25200,25680
1,0,70,80,25200,25680
1,0,73,80,25200,25680
1,0,75,80,25200,25680
2,0,55,80,25680,25920
2,0,58,80,25680,25920
1,0,63,80,25680,25920
1,0,70,80,25680,25920
1,0,71,80,25680,25920
1,0,75,80,25680,25920
2,0,47,80,25920,26400
2,0,47,80,25920,27360
1,0,70,80,25920,26640
1,0,80,80,25920,26640
2,0,56,80,26400,26640
2,0,59,80,26400,26640
1,0,68,80,26400,26640
2,0,56,80,26640,27120
2,0,59,80,26640,27120
1,0,68,80,26640,27120
1,0,70,80,26640,27120
1,0,75,80,26640,27120
1,0,80,80,26640,27120
2,0,56,80,27120,27360
2,0,59,80,27120,27360
1,0,68,80,27120,27360
1,0,68,80,27120,27360
1,0,75,80,27120,27360
1,0,80,80,27120,27360
2,0,35,80,27360,27840
2,0,47,80,27360,27840
1,0,66,80,27360,28800
1,0,69,80,27360,28080
1,0,71,80,27360,28080
1,0,75,80,27360,28080
1,0,81,80,27360,28080
2,0,59,80,27840,28080
1,0,63,80,28080,28560
1,0,69,80,28080,28560
1,0,71,80,28080,28560
1,0,75,80,28080,28560
1,0,80,80,28080,28560
2,0,54,80,28560,28800
1,0,69,80,28560,28800
1,0,71,80,28560,28800
1,0,75,80,28560,28800
1,0,78,80,28560,28800
2,0,47,80,28800,29280
1,0,69,80,28800,30240
1,0,71,80,28800,30240
1,0,74,80,28800,29520
1,0,77,80,28800,29520
2,0,59,80,29280,29520
1,0,63,80,29520,30000
1,0,75,80,29520,30240
1,0,78,80,29520,30240
2,0,47,80,30000,30240
2,0,52,80,30240,30720
1,0,68,80,30240,31680
1,0,71,80,30240,31680
1,0,76,80,30240,31680
1,0,76,80,30240,31680
1,0,80,80,30240,31680
2,0,59,80,30720,30960
1,0,64,80,30960,31440
2,0,52,80,31440,31680
2,0,32,80,31680,32160
2,0,44,80,31680,32160
1,0,68,80,31680,33120
1,0,72,80,31680,33120
1,0,75,80,31680,32400
1,0,75,80,31680,32400
1,0,78,80,31680,32400
1,0,60,80,32160,32400
1,0,63,80,32400,32880
1,0,76,80,32400,32880
1,0,76,80,32400,32880
1,0,80,80,32400,32880
2,0,44,80,32880,33120
1,0,75,80,32880,33120
1,0,75,80,32880,33120
1,0,78,80,32880,33120
2,0,37,80,33120,33600
2,0,49,80,33120,33600
1,0,64,80,33120,34560
1,0,68,80,33120,34560
1,0,73,80,33120,34560
1,0,73,80,33120,34560
1,0,76,80,33120,34560
2,0,56,80,33600,33840
1,0,61,80,33840,34320
2,0,49,80,34320,34560
2,0,45,80,34560,35040
1,0,64,80,34560,36000
1,0,69,80,34560,36000
1,0,73,80,34560,35280
1,0,73,80,34560,35280
1,0,76,80,34560,35280
2,0,52,80,35040,35280
2,0,57,80,35280,35760
1,0,71,80,35280,35760
1,0,71,80,35280,35760
1,0,75,80,35280,35760
2,0,45,80,35760,36000
1,0,69,80,35760,36000
1,0,69,80,35760,36000
1,0,73,80,35760,36000
2,0,40,80,36000,36480
2,0,59,80,36000,37440
1,0,64,80,36000,37440
1,0,68,80,36000,36960
1,0,68,80,36000,37440
1,0,71,80,36000,37440
2,0,47,80,36480,36720
2,0,52,80,36720,37200
2,0,40,80,37200,37440
2,0,30,80,37440,37920
2,0,57,80,37440,38160
1,0,61,80,37440,38880
1,0,63,80,37440,38880
1,0,69,80,37440,38160
2,0,42,80,37920,38160
2,0,33,80,38160,38640
2,0,56,80,38160,38640
1,0,68,80,38160,38640
2,0,45,80,38640,38880
2,0,54,80,38640,38880
1,0,66,80,38640,38880
2,0,32,80,38880,39360
2,0,56,80,38880,40320
1,0,60,80,38880,40320
1,0,63,80,38880,40320
1,0,68,80,38880,40320
2,0,48,80,39360,39600
2,0,51,80,39600,40080
2,0,44,80,40080,40320
2,0,33,80,40320,40800
2,0,57,80,40320,41040
1,0,61,80,40320,41040
1,0,69,80,40320,41040
2,0,45,80,40800,41040
2,0,35,80,41040,41520
2,0,57,80,41040,41760
2,0,59,80,41040,41760
1,0,63,80,41040,41760
1,0,68,80,41040,41520
2,0,47,80,41520,41760
1,0,66,80,41520,41760
2,0,40,80,41760,42240
2,0,40,80,41760,43200
2,0,56,80,41760,43200
2,0,59,80,41760,43200
1,0,64,80,41760,43200
1,0,68,80,41760,42480
1,0,68,80,41760,43200
2,0,47,80,42240,42480
2,0,47,80,42480,42960
1,0,66,80,42480,42960
2,0,47,80,42960,43200
1,0,64,80,42960,43200
2,0,42,80,43200,43680
2,0,42,80,43200,44640
2,0,57,80,43200,44640
2,0,59,80,43200,44640
1,0,63,80,43200,43920
1,0,63,80,43200,44640
1,0,69,80,43200,44640
2,0,47,80,43680,43920
2,0,47,80,43920,44400
1,0,64,80,43920,44400
2,0,47,80,44400,44640
1,0,66,80,44400,44640
2,0,32,80,44640,46080
2,0,44,80,44640,45120
2,0,59,80,44640,45360
2,0,59,80,44640,45360
1,0,62,80,44640,45360
1,0,64,80,44640,45360
1,0,71,80,44640,45360
2,0,40,80,45120,45360
2,0,40,80,45360,45840
2,0,52,80,45360,46080
2,0,59,80,45360,46080
1,0,61,80,45360,45840
1,0,62,80,45360,46080
1,0,64,80,45360,46080
2,0,40,80,45840,46080
1,0,62,80,45840,46080
2,0,33,80,46080,47520
2,0,45,80,46080,46560
2,0,45,80,46080,47520
2,0,52,80,46080,47520
2,0,57,80,46080,47520
1,0,61,80,46080,46800
1,0,61,80,46080,47280
1,0,64,80,46080,47520
2,0,40,80,46560,46800
2,0,40,80,46800,47280
1,0,61,80,46800,47520
2,0,40,80,47280,47520
2,0,33,80,47520,48960
2,0,45,80,47520,48960
1,0,63,80,47520,48240
2,0,54,80,48000,48240
2,0,59,80,48000,48240
1,0,63,80,48000,48240
2,0,59,80,48240,48720
1,0,63,80,48240,48720
1,0,66,80,48240,48720
1,0,71,80,48240,48960
2,0,54,80,48720,48960
2,0,59,80,48720,48960
1,0,63,80,48720,48960
2,0,32,80,48960,50400
2,0,44,80,48960,50400
1,0,71,80,48960,50400
2,0,52,80,49440,49680
2,0,59,80,49440,49680
2,0,59,80,49680,50160
1,0,64,80,49680,50160
2,0,52,80,50160,50400
2,0,59,80,50160,50400
2,0,34,80,50400,51840
2,0,46,80,50400,51840
1,0,75,80,50400,51120
2,0,54,80,50880,51120
1,0,61,80,50880,51120
1,0,64,80,50880,51120
1,0,61,80,51120,51600
1,0,64,80,51120,51600
1,0,66,80,51120,51600
1,0,75,80,51120,51600
2,0,54,80,51600,51840
1,0,61,80,51600,51840
1,0,64,80,51600,51840
1,0,73,80,51600,51840
2,0,35,80,51840,53280
2,0,47,80,51840,53280
1,0,66,80,51840,52560
2,0,54,80,52320,52560
2,0,59,80,52320,52560
1,0,63,80,52320,52560
2,0,57,80,52560,53040
1,0,63,80,52560,53040
1,0,66,80,52560,53040
1,0,69,80,52560,53280
2,0,54,80,53040,53280
2,0,57,80,53040,53280
1,0,63,80,53040,53280
2,0,36,80,53280,54000
2,0,48,80,53280,54000
1,0,69,80,53280,54000
2,0,57,80,53760,54000
1,0,63,80,53760,54000
1,0,66,80,53760,54000
2,0,37,80,54000,54720
2,0,49,80,54000,54720
1,0,68,80,54000,54240
2,0,56,80,54480,54720
1,0,61,80,54480,54720
1,0,64,80,54480,54720
1,0,68,80,54480,54720
2,0,33,80,54720,56160
2,0,45,80,54720,56160
1,0,73,80,54720,56160
2,0,54,80,55200,55440
1,0,61,80,55200,55440
2,0,54,80,55440,55920
1,0,61,80,55440,55920
1,0,66,80,55440,55920
2,0,54,80,55920,56160
1,0,61,80,55920,56160
2,0,35,80,56160,57600
2,0,47,80,56160,57600
1,0,73,80,56160,56880
2,0,57,80,56640,56880
2,0,59,80,56640,56880
1,0,63,80,56640,56880
2,0,59,80,56880,57360
1,0,63,80,56880,57360
1,0,69,80,56880,57360
1,0,73,80,56880,57360
2,0,57,80,57360,57600
2,0,59,80,57360,57600
1,0,63,80,57360,57600
1,0,63,80,57360,57600
2,0,40,80,57600,59040
1,0,64,80,57600,58320
2,0,56,80,58080,58320
2,0,59,80,58080,58320
1,0,64,80,58080,58560
2,0,59,80,58320,58800
1,0,64,80,58320,58800
1,0,68,80,58320,58800
2,0,56,80,58800,59040
2,0,59,80,58800,59040
1,0,64,80,58800,59040
2,0,41,80,59040,59760
2,0,53,80,59040,59760
1,0,75,80,59040,59760
1,0,63,80,59520,59760
1,0,68,80,59520,59760
1,0,68,80,59760,60240
1,0,71,80,59760,60240
1,0,71,80,60240,60480
1,0,75,80,60240,60480
2,0,42,80,60480,61200
2,0,54,80,60480,61200
1,0,73,80,60480,61200
1,0,61,80,60960,61200
1,0,66,80,60960,61200
1,0,66,80,61200,61680
1,0,69,80,61200,61680
1,0,69,80,61680,61920
1,0,73,80,61680,61920
2,0,33,80,61920,62640
2,0,45,80,61920,62640
1,0,76,80,61920,63360
1,0,69,80,62400,62640
1,0,72,80,62400,62640
2,0,36,80,62640,63360
2,0,48,80,62640,63360
1,0,64,80,62640,63120
1,0,69,80,62640,63120
1,0,60,80,63120,63360
1,0,64,80,63120,63360
2,0,40,80,63360,63840
2,0,52,80,63360,63840
2,0,56,80,63360,64800
2,0,59,80,63360,64800
1,0,64,80,63360,64800
1,0,68,80,63360,64800
1,0,76,80,63360,64080
2,0,47,80,63840,64080
2,0,47,80,64080,64560
1,0,76,80,64080,64560
2,0,47,80,64560,64800
2,0,42,80,64800,65280
2,0,51,80,64800,65520
2,0,57,80,64800,65520
2,0,59,80,64800,65520
1,0,63,80,64800,65520
2,0,47,80,65280,65520
2,0,40,80,65520,66000
2,0,52,80,65520,66240
2,0,57,80,65520,66240
2,0,59,80,65520,66240
1,0,64,80,65520,66240
2,0,47,80,66000,66240
2,0,39,80,66240,66720
2,0,39,80,66240,67680
2,0,54,80,66240,67680
2,0,57,80,66240,67680
2,0,59,80,66240,67680
1,0,66,80,66240,67680
2,0,47,80,66720,66960
2,0,47,80,66960,67440
2,0,47,80,67440,67680
2,0,39,80,67680,68160
2,0,54,80,67680,68400
2,0,57,80,67680,68400
2,0,59,80,67680,68400
1,0,66,80,67680,68400
2,0,47,80,68160,68400
2,0,37,80,68400,68880
2,0,56,80,68400,69120
2,0,59,80,68400,69120
1,0,64,80,68400,69120
1,0,68,80,68400,69120
2,0,47,80,68880,69120
2,0,35,80,69120,69600
2,0,57,80,69120,70560
2,0,59,80,69120,70560
1,0,63,80,69120,70560
1,0,69,80,69120,70560
2,0,47,80,69600,69840
2,0,47,80,69840,70320
2,0,47,80,70320,70560
2,0,36,80,70560,71040
2,0,56,80,70560,71280
1,0,63,80,70560,71280
1,0,68,80,70560,71280
2,0,48,80,71040,71280
2,0,32,80,71280,71760
2,0,54,80,71280,72000
2,0,56,80,71280,72000
1,0,60,80,71280,72000
1,0,66,80,71280,72000
2,0,44,80,71760,72000
2,0,37,80,72000,72480
2,0,52,80,72000,72720
2,0,56,80,72000,72720
1,0,61,80,72000,72720
1,0,64,80,72000,72720
2,0,49,80,72480,72720
2,0,33,80,72720,73200
2,0,54,80,72720,73440
1,0,61,80,72720,73440
1,0,66,80,72720,73440
2,0,45,80,73200,73440
2,0,35,80,73440,73920
2,0,35,80,73440,74880
2,0,57,80,73440,74880
2,0,59,80,73440,74880
1,0,63,80,73440,74880
1,0,68,80,73440,74160
2,0,47,80,73920,74160
2,0,47,80,74160,74640
1,0,68,80,74160,74640
2,0,47,80,74640,74880
1,0,66,80,74640,74880
2,0,40,80,74880,76320
2,0,47,80,74880,76320
2,0,56,80,74880,76320
1,0,64,80,74880,76320
