# DoReDog MIDI extraction
# source,OpenScore Lieder Corpus (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,4/4
track,channel,pitch,vel,start,end
2,0,50,80,0,480
1,0,66,80,0,240
1,0,74,80,0,480
1,0,69,80,240,480
2,0,57,80,2880,3840
1,0,64,80,2880,3120
1,0,73,80,2880,3840
1,0,67,80,3120,3360
1,0,64,80,3360,3600
1,0,67,80,3600,3840
1,0,62,80,3840,4080
1,0,71,80,3840,4320
1,0,80,80,3840,4320
1,0,66,80,4080,4320
1,0,61,80,4320,4560
1,0,69,80,4320,5280
1,0,81,80,4320,5280
1,0,64,80,4560,4800
1,0,61,80,4800,5040
1,0,64,80,5040,5280
2,0,46,80,5280,5760
1,0,61,80,5280,5520
1,0,67,80,5280,5760
1,0,64,80,5520,5760
2,0,47,80,5760,6240
2,0,48,80,5760,6240
1,0,61,80,5760,6000
1,0,67,80,5760,6240
1,0,64,80,6000,6240
2,0,47,80,6240,6720
2,0,50,80,6240,7200
2,0,54,80,6240,6480
1,0,66,80,6240,6720
1,0,62,80,6480,6720
2,0,45,80,6720,7200
2,0,55,80,6720,6960
1,0,67,80,6720,7200
1,0,62,80,6960,7200
2,0,43,80,7200,7680
2,0,50,80,7200,8640
2,0,57,80,7200,7440
1,0,69,80,7200,7680
1,0,62,80,7440,7680
2,0,44,80,7680,8160
2,0,59,80,7680,7920
1,0,71,80,7680,8160
1,0,62,80,7920,8160
2,0,59,80,8160,8400
1,0,64,80,8160,8640
1,0,62,80,8400,8640
2,0,33,80,8640,8880
2,0,45,80,8640,9120
1,0,62,80,8640,10080
1,0,64,80,8640,9600
2,0,40,80,8880,9120
2,0,45,80,9120,9360
2,0,45,80,9120,9600
2,0,52,80,9120,9600
2,0,52,80,9360,9600
2,0,45,80,9600,10560
2,0,52,80,9600,10560
2,0,57,80,9600,10080
1,0,64,80,9600,9840
1,0,66,80,9840,10080
2,0,57,80,10080,11040
1,0,61,80,10080,11040
1,0,67,80,10080,11040
1,0,62,80,11040,11520
1,0,74,80,11040,11520
1,0,74,80,11280,11520
1,0,78,80,11280,11520
1,0,69,80,11520,12480
1,0,73,80,11520,12240
1,0,74,80,11520,11760
1,0,78,80,11520,11760
1,0,73,80,11760,12240
1,0,76,80,11760,12240
1,0,73,80,12240,12480
1,0,73,80,12240,12720
1,0,76,80,12240,12720
1,0,62,80,12480,12960
1,0,71,80,12480,12960
1,0,71,80,12720,13200
1,0,74,80,12720,13200
2,0,57,80,12960,13920
1,0,73,80,12960,13440
1,0,69,80,13200,13680
1,0,73,80,13200,13680
1,0,69,80,13440,13920
1,0,69,80,13680,14160
1,0,73,80,13680,14160
2,0,50,80,13920,14400
1,0,71,80,13920,14400
1,0,67,80,14160,14400
1,0,71,80,14160,14400
2,0,45,80,14400,15360
1,0,67,80,14400,14640
1,0,69,80,14400,14880
1,0,71,80,14400,14640
1,0,66,80,14640,15120
1,0,69,80,14640,15120
1,0,66,80,14880,15360
1,0,66,80,15120,15600
1,0,69,80,15120,15600
2,0,38,80,15360,15840
1,0,67,80,15360,15840
1,0,64,80,15600,16080
1,0,67,80,15600,16080
2,0,33,80,15840,16320
1,0,69,80,15840,16320
1,0,62,80,16080,16560
1,0,66,80,16080,16560
2,0,45,80,16320,16800
1,0,73,80,16320,16800
1,0,61,80,16560,17040
1,0,64,80,16560,17040
2,0,49,80,16800,17280
1,0,76,80,16800,17280
2,0,57,80,17040,17280
1,0,69,80,17040,17280
2,0,47,80,17280,17760
2,0,50,80,17280,18720
1,0,79,80,17280,17760
1,0,62,80,17520,18000
1,0,67,80,17520,18000
2,0,45,80,17760,18240
1,0,78,80,17760,18240
1,0,62,80,18000,18480
