# DoReDog MIDI extraction
# source,IMSLP / Wikimedia (CC0)
# ticks_per_quarter,480
# meta,0,0,tempo,500000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,57,80,0,1440
1,0,69,80,0,480
1,0,73,80,0,480
1,0,76,80,0,480
1,0,81,80,0,480
1,0,61,80,480,960
1,0,64,80,480,960
1,0,69,80,480,720
1,0,71,80,720,960
1,0,61,80,960,1440
1,0,64,80,960,1440
1,0,73,80,960,1200
1,0,74,80,1200,1440
2,0,55,80,1440,2880
1,0,76,80,1440,1680
1,0,77,80,1680,1920
1,0,61,80,1920,2400
1,0,64,80,1920,2400
1,0,76,80,1920,2160
1,0,77,80,2160,2400
1,0,61,80,2400,2880
1,0,64,80,2400,2880
1,0,76,80,2400,2640
1,0,77,80,2640,2880
2,0,53,80,2880,4320
1,0,74,80,2880,3360
2,0,57,80,3360,3840
1,0,62,80,3360,3840
2,0,57,80,3840,4800
1,0,62,80,3840,4800
1,0,69,80,3840,4320
2,0,50,80,4320,4800
1,0,69,80,4320,4800
1,0,74,80,4320,4800
1,0,77,80,4320,4800
1,0,81,80,4320,4800
2,0,55,80,5760,7200
1,0,67,80,5760,6240
1,0,71,80,5760,6240
1,0,74,80,5760,6240
1,0,79,80,5760,6240
2,0,59,80,6240,6720
1,0,62,80,6240,6720
1,0,67,80,6240,6480
1,0,69,80,6480,6720
2,0,59,80,6720,7200
1,0,62,80,6720,7200
1,0,71,80,6720,6960
1,0,72,80,6960,7200
2,0,53,80,7200,8640
1,0,74,80,7200,7440
1,0,76,80,7440,7680
2,0,59,80,7680,8160
1,0,62,80,7680,8160
1,0,74,80,7680,7920
1,0,76,80,7920,8160
2,0,59,80,8160,8640
