# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,1000000
# meta,0,0,time_signature,6/8
track,channel,pitch,vel,start,end
1,0,71,80,0,192
2,0,40,80,192,576
1,0,68,80,192,384
1,0,64,80,384,576
1,0,59,80,576,768
2,0,44,80,768,1152
2,0,52,80,768,864
2,0,54,80,864,960
2,0,56,80,960,1056
2,0,57,80,1056,1152
2,0,59,80,1152,1248
2,0,61,80,1248,1344
2,0,42,80,1344,1728
1,0,63,80,1344,1440
1,0,64,80,1440,1536
1,0,66,80,1536,1728
1,0,66,80,1728,1920
2,0,40,80,1920,2304
2,0,57,80,1920,2016
2,0,56,80,2016,2112
2,0,57,80,2112,2304
2,0,66,80,2304,2496
2,0,39,80,2496,2880
2,0,47,80,2496,2592
2,0,49,80,2592,2688
2,0,51,80,2688,2784
2,0,52,80,2784,2880
2,0,54,80,2880,2976
2,0,56,80,2976,3072
2,0,35,80,3072,3456
2,0,57,80,3072,3168
2,0,56,80,3168,3264
2,0,57,80,3264,3360
2,0,61,80,3360,3456
2,0,59,80,3456,3552
2,0,57,80,3552,3648
2,0,40,80,3648,4032
2,0,56,80,3648,3744
2,0,54,80,3744,3840
2,0,56,80,3840,3936
2,0,57,80,3936,4032
2,0,59,80,4032,4128
2,0,56,80,4128,4176
2,0,54,80,4176,4224
2,0,52,80,4224,4512
2,0,54,80,4512,4608
2,0,56,80,4608,4704
2,0,57,80,4704,4800
2,0,44,80,4800,5184
2,0,59,80,4800,4896
2,0,56,80,4896,4992
2,0,52,80,4992,5088
2,0,56,80,5088,5184
2,0,59,80,5184,5280
2,0,62,80,5280,5376
2,0,45,80,5376,5760
1,0,61,80,5376,5472
1,0,64,80,5472,5568
1,0,69,80,5568,5664
1,0,64,80,5664,5760
1,0,61,80,5760,5856
1,0,57,80,5856,5952
2,0,44,80,5952,6336
2,0,59,80,5952,6048
2,0,56,80,6048,6144
2,0,52,80,6144,6240
2,0,56,80,6240,6336
2,0,59,80,6336,6432
2,0,62,80,6432,6528
2,0,45,80,6528,6912
1,0,61,80,6528,6624
1,0,64,80,6624,6720
1,0,69,80,6720,6816
1,0,64,80,6816,6912
1,0,61,80,6912,7008
1,0,57,80,7008,7104
2,0,42,80,7104,7488
1,0,63,80,7104,7200
1,0,66,80,7200,7296
1,0,69,80,7296,7392
1,0,66,80,7392,7488
2,0,47,80,7488,7680
1,0,63,80,7488,7584
1,0,59,80,7584,7680
2,0,52,80,7680,8064
1,0,69,80,7776,7872
1,0,68,80,7872,7968
1,0,66,80,7968,8064
2,0,40,80,8064,8256
1,0,68,80,8064,8160
1,0,64,80,8160,8256
2,0,39,80,8256,8448
1,0,59,80,8256,8352
1,0,63,80,8352,8448
2,0,39,80,8448,8640
1,0,66,80,8448,8640
2,0,39,80,8640,8832
1,0,69,80,8640,8832
2,0,40,80,8832,9216
1,0,68,80,8832,8928
1,0,66,80,8928,9024
1,0,64,80,9024,9120
1,0,66,80,9120,9216
1,0,68,80,9216,9312
1,0,64,80,9312,9408
2,0,37,80,9408,9600
1,0,58,80,9408,9504
1,0,61,80,9504,9600
2,0,37,80,9600,9792
1,0,64,80,9600,9792
2,0,37,80,9792,9984
1,0,68,80,9792,9984
2,0,39,80,9984,10368
1,0,66,80,9984,10080
1,0,64,80,10080,10176
1,0,63,80,10176,10272
1,0,61,80,10272,10368
1,0,59,80,10368,10464
1,0,57,80,10464,10560
2,0,35,80,10560,10752
1,0,56,80,10560,10656
1,0,59,80,10656,10752
