# DoReDog MIDI extraction
# source,Mutopia Project (public domain, LilyPond)
# ticks_per_quarter,384
# meta,0,0,tempo,500000
# meta,0,0,time_signature,3/4
track,channel,pitch,vel,start,end
2,0,43,80,0,768
1,0,67,80,384,768
1,0,69,80,768,1152
1,0,70,80,1152,1536
1,0,72,80,1536,1920
1,0,74,80,1920,2304
1,0,63,80,2304,3072
2,0,43,80,2688,3072
2,0,55,80,2688,3072
2,0,58,80,2688,3072
2,0,45,80,3072,3456
2,0,53,80,3072,3456
1,0,60,80,3072,3456
1,0,63,80,3072,3456
2,0,46,80,3456,3840
2,0,53,80,3456,3840
1,0,62,80,3456,4224
1,0,62,80,3456,3840
2,0,48,80,3840,4224
2,0,57,80,3840,4224
2,0,57,80,3840,4224
2,0,50,80,4224,4608
2,0,53,80,4224,4608
2,0,58,80,4224,4608
1,0,62,80,4224,4608
2,0,39,80,4608,5376
2,0,55,80,4608,4992
1,0,60,80,4608,5376
1,0,67,80,4992,5376
1,0,67,80,4992,5760
2,0,51,80,5376,5760
1,0,60,80,5376,5760
1,0,72,80,5376,6144
2,0,50,80,5760,6528
1,0,62,80,5760,6144
1,0,65,80,5760,6528
1,0,68,80,6144,6528
1,0,71,80,6144,6528
2,0,43,80,6528,6912
1,0,67,80,6528,6912
1,0,71,80,6528,6912
1,0,77,80,6528,6912
2,0,48,80,6912,7296
1,0,67,80,6912,7296
1,0,72,80,6912,7296
1,0,75,80,6912,7296
2,0,41,80,7296,7680
1,0,68,80,7296,7680
1,0,74,80,7296,7680
1,0,77,80,7296,7680
2,0,43,80,7680,8064
1,0,67,80,7680,8064
1,0,71,80,7680,8064
1,0,74,80,7680,8064
2,0,48,80,8064,8448
1,0,63,80,8064,8448
1,0,72,80,8064,8448
1,0,72,80,8064,8448
2,0,51,80,8448,8832
1,0,60,80,8448,8832
1,0,67,80,8448,8832
1,0,67,80,8448,8832
2,0,48,80,8832,9216
1,0,60,80,8832,9216
1,0,63,80,8832,9216
1,0,69,80,8832,9216
2,0,55,80,9216,9600
2,0,58,80,9216,9600
1,0,62,80,9216,9600
1,0,70,80,9216,9600
2,0,57,80,9600,9984
1,0,66,80,9600,9984
1,0,69,80,9600,9984
1,0,72,80,9600,9984
2,0,58,80,9984,10368
1,0,67,80,9984,10368
1,0,74,80,9984,10368
1,0,74,80,9984,10368
2,0,51,80,10368,10752
1,0,67,80,10368,10752
1,0,72,80,10368,10752
1,0,79,80,10368,10752
2,0,48,80,10752,11136
1,0,72,80,10752,11136
1,0,75,80,10752,11136
1,0,81,80,10752,11136
2,0,43,80,11136,11520
1,0,70,80,11136,11520
1,0,74,80,11136,11520
1,0,82,80,11136,11520
2,0,50,80,11520,11904
1,0,69,80,11520,11904
1,0,74,80,11520,11904
1,0,78,80,11520,11904
2,0,54,80,11904,12288
1,0,66,80,11904,12288
1,0,69,80,11904,12288
1,0,74,80,11904,12288
2,0,55,80,12288,12672
1,0,62,80,12288,12672
1,0,67,80,12288,12672
1,0,70,80,12288,12864
2,0,48,80,12672,13056
1,0,63,80,12672,13056
1,0,67,80,12672,13440
1,0,69,80,12864,13056
2,0,50,80,13056,13440
1,0,62,80,13056,13440
1,0,69,80,13056,13632
2,0,38,80,13440,13824
1,0,60,80,13440,13824
1,0,66,80,13440,13824
1,0,67,80,13632,13824
2,0,43,80,13824,14208
2,0,58,80,13824,14592
1,0,67,80,13824,14592
1,0,67,80,13824,14592
2,0,55,80,14208,14592
2,0,55,80,14208,14592
2,0,57,80,14592,14976
2,0,57,80,14592,14976
2,0,58,80,14976,15360
2,0,58,80,14976,15360
1,0,60,80,15360,15744
1,0,60,80,15360,15744
1,0,62,80,15744,16128
1,0,62,80,15744,16128
2,0,51,80,16128,16896
2,0,51,80,16128,16896
1,0,67,80,16512,16896
1,0,70,80,16512,16896
1,0,79,80,16512,16896
2,0,51,80,16896,17280
2,0,51,80,16896,17280
1,0,60,80,16896,17280
1,0,72,80,16896,17280
1,0,81,80,16896,17280
2,0,50,80,17280,18048
2,0,50,80,17280,18048
2,0,58,80,17280,17664
1,0,74,80,17280,17664
1,0,82,80,17280,17664
2,0,57,80,17664,18048
1,0,67,80,17664,18048
1,0,84,80,17664,18048
2,0,50,80,18048,18432
2,0,50,80,18048,18432
1,0,66,80,18048,18432
1,0,69,80,18048,18432
1,0,86,80,18048,18432
1,0,60,80,18432,19200
1,0,67,80,18432,19200
1,0,75,80,18432,19200
2,0,48,80,18816,19200
2,0,48,80,18816,19200
1,0,60,80,19200,19584
1,0,60,80,19200,19584
1,0,60,80,19200,19584
1,0,67,80,19200,19584
1,0,75,80,19200,19584
2,0,59,80,19584,19968
2,0,59,80,19584,19968
1,0,62,80,19584,20352
1,0,67,80,19584,20352
1,0,74,80,19584,20352
1,0,60,80,19968,20352
1,0,60,80,19968,20352
1,0,62,80,20352,20736
1,0,62,80,20352,20736
1,0,65,80,20352,20736
1,0,71,80,20352,20736
1,0,74,80,20352,20736
1,0,63,80,20736,21504
1,0,63,80,20736,21120
1,0,63,80,20736,21120
1,0,67,80,20736,21120
1,0,72,80,20736,21504
2,0,55,80,21120,21888
2,0,55,80,21120,21888
1,0,75,80,21120,21504
1,0,67,80,21504,22272
1,0,71,80,21504,21888
1,0,74,80,21504,21888
2,0,56,80,21888,22656
2,0,56,80,21888,22656
1,0,72,80,21888,22272
1,0,72,80,21888,22656
1,0,65,80,22272,22656
1,0,77,80,22272,22656
2,0,55,80,22656,23040
2,0,55,80,22656,23040
1,0,67,80,22656,23040
1,0,72,80,22656,23424
1,0,75,80,22656,23040
1,0,65,80,23040,23424
1,0,80,80,23040,23424
2,0,53,80,23424,23808
2,0,53,80,23424,23808
1,0,65,80,23424,23808
1,0,68,80,23424,23808
1,0,74,80,23424,23808
2,0,51,80,23808,24192
2,0,51,80,23808,24192
1,0,60,80,23808,24192
1,0,67,80,23808,24192
1,0,72,80,23808,24192
2,0,50,80,24192,24576
2,0,50,80,24192,24576
1,0,62,80,24192,24576
1,0,65,80,24192,24576
1,0,71,80,24192,24576
2,0,51,80,24576,24960
2,0,51,80,24576,24960
1,0,60,80,24576,24960
1,0,67,80,24576,24960
1,0,72,80,24576,24960
2,0,48,80,24960,25344
2,0,48,80,24960,25344
1,0,63,80,24960,25344
1,0,67,80,24960,25344
1,0,72,80,24960,25344
2,0,55,80,25344,25728
2,0,55,80,25344,25728
1,0,67,80,25344,25728
1,0,72,80,25344,25728
1,0,75,80,25344,25728
2,0,53,80,25728,26112
2,0,53,80,25728,26112
1,0,68,80,25728,26112
1,0,74,80,25728,26112
1,0,77,80,25728,26112
2,0,55,80,26112,26496
2,0,55,80,26112,26496
1,0,67,80,26112,26496
1,0,71,80,26112,26496
1,0,74,80,26112,26496
2,0,48,80,26496,26880
2,0,48,80,26496,26880
1,0,60,80,26880,27264
1,0,60,80,26880,27168
1,0,60,80,26880,27168
1,0,63,80,26880,27264
1,0,67,80,26880,27264
2,0,58,80,27168,27264
2,0,58,80,27168,27264
1,0,60,80,27264,27648
1,0,60,80,27264,27648
1,0,67,80,27264,27648
1,0,72,80,27264,27648
1,0,75,80,27264,27648
2,0,46,80,27648,28032
2,0,46,80,27648,28032
2,0,58,80,28032,28320
2,0,58,80,28032,28320
1,0,60,80,28032,28416
1,0,63,80,28032,28416
1,0,67,80,28032,28416
2,0,57,80,28320,28416
2,0,57,80,28320,28416
2,0,58,80,28416,28800
2,0,58,80,28416,28800
1,0,67,80,28416,28800
1,0,72,80,28416,28800
1,0,75,80,28416,28800
2,0,45,80,28800,29184
2,0,45,80,28800,29184
2,0,57,80,29184,29472
2,0,57,80,29184,29472
1,0,60,80,29184,29568
1,0,63,80,29184,29568
1,0,65,80,29184,29568
2,0,55,80,29472,29568
2,0,55,80,29472,29568
2,0,57,80,29568,29952
2,0,57,80,29568,29952
1,0,65,80,29568,29952
1,0,72,80,29568,29952
1,0,75,80,29568,29952
2,0,43,80,29952,30336
2,0,43,80,29952,30336
2,0,55,80,30336,30720
2,0,55,80,30336,30624
2,0,55,80,30336,30624
1,0,60,80,30336,30720
1,0,63,80,30336,30720
2,0,53,80,30624,30720
2,0,53,80,30624,30720
2,0,55,80,30720,31104
2,0,55,80,30720,31104
2,0,55,80,30720,31104
1,0,72,80,30720,31104
1,0,75,80,30720,31104
2,0,53,80,31104,32256
2,0,53,80,31104,32256
1,0,65,80,31488,31872
1,0,81,80,31488,31872
1,0,84,80,31488,31872
1,0,67,80,31872,32256
1,0,79,80,31872,32256
1,0,82,80,31872,32256
1,0,69,80,32256,32640
1,0,69,80,32256,32640
1,0,77,80,32256,32640
1,0,60,80,32640,33024
1,0,60,80,32640,33024
1,0,63,80,32640,33024
1,0,69,80,32640,33024
1,0,69,80,32640,33024
1,0,63,80,33024,33408
1,0,63,80,33024,33408
1,0,65,80,33024,33408
1,0,69,80,33024,33408
1,0,72,80,33024,33408
1,0,62,80,33408,33792
1,0,62,80,33408,33792
1,0,65,80,33408,33792
1,0,70,80,33408,33792
1,0,77,80,33408,33792
2,0,57,80,33792,34176
2,0,57,80,33792,34176
1,0,65,80,33792,34176
1,0,72,80,33792,34176
1,0,72,80,33792,34176
2,0,58,80,34176,34560
2,0,58,80,34176,34560
1,0,65,80,34176,34560
1,0,70,80,34176,34560
1,0,74,80,34176,34560
2,0,53,80,34560,34944
2,0,53,80,34560,34944
1,0,65,80,34560,34944
1,0,70,80,34560,34944
1,0,74,80,34560,34944
2,0,51,80,34944,35328
2,0,51,80,34944,35328
1,0,67,80,34944,35328
1,0,72,80,34944,35328
1,0,75,80,34944,35328
2,0,53,80,35328,35712
2,0,53,80,35328,35712
1,0,69,80,35328,35712
1,0,69,80,35328,35712
1,0,72,80,35328,35712
2,0,46,80,35712,36480
2,0,46,80,35712,36096
1,0,62,80,35712,36096
1,0,65,80,35712,36096
1,0,70,80,35712,36096
2,0,50,80,36096,36480
1,0,70,80,36096,36480
1,0,77,80,36096,36480
1,0,82,80,36096,36480
2,0,46,80,36480,36864
1,0,65,80,36480,36864
1,0,74,80,36480,36864
1,0,81,80,36480,36864
2,0,51,80,36864,37248
1,0,67,80,36864,37248
1,0,70,80,36864,37248
1,0,79,80,36864,37248
2,0,53,80,37248,37632
1,0,69,80,37248,37632
1,0,69,80,37248,37632
1,0,72,80,37248,37632
2,0,58,80,37632,38016
1,0,65,80,37632,38016
1,0,70,80,37632,38016
1,0,74,80,37632,38208
2,0,51,80,38016,38400
1,0,67,80,38016,38400
1,0,70,80,38016,38784
1,0,75,80,38208,38400
2,0,53,80,38400,38784
1,0,60,80,38400,38784
1,0,72,80,38400,38976
2,0,41,80,38784,39168
1,0,65,80,38784,39168
1,0,69,80,38784,39168
1,0,70,80,38976,39168
2,0,46,80,39168,39552
1,0,62,80,39168,39552
1,0,70,80,39168,39552
1,0,70,80,39168,39552
2,0,50,80,39552,39936
2,0,50,80,39552,39936
2,0,58,80,39552,39936
1,0,62,80,39552,39936
1,0,65,80,39552,39936
2,0,52,80,39936,40320
2,0,52,80,39936,40320
1,0,60,80,39936,40320
1,0,67,80,39936,40320
1,0,70,80,39936,40320
2,0,54,80,40320,40704
2,0,54,80,40320,40704
1,0,60,80,40320,41088
1,0,62,80,40320,40704
1,0,69,80,40320,41088
2,0,55,80,40704,41088
2,0,55,80,40704,41088
1,0,67,80,40704,41088
2,0,57,80,41088,41472
2,0,57,80,41088,41472
1,0,60,80,41088,41472
1,0,66,80,41088,41472
1,0,69,80,41088,41472
2,0,46,80,41472,42240
2,0,46,80,41472,42240
1,0,62,80,41472,42240
1,0,67,80,41472,42240
1,0,74,80,41856,42240
2,0,46,80,42240,42624
2,0,46,80,42240,42624
2,0,58,80,42240,42624
1,0,67,80,42240,42624
1,0,76,80,42240,42624
2,0,45,80,42624,43392
2,0,45,80,42624,43392
1,0,60,80,42624,43008
1,0,69,80,42624,43008
1,0,78,80,42624,43008
2,0,58,80,43008,43392
1,0,70,80,43008,43392
1,0,79,80,43008,43392
2,0,45,80,43392,43776
2,0,45,80,43392,43776
2,0,57,80,43392,43776
1,0,72,80,43392,43776
1,0,81,80,43392,43776
2,0,53,80,43776,44160
1,0,62,80,43776,44160
1,0,70,80,43776,44544
2,0,55,80,44160,44544
2,0,55,80,44160,44544
1,0,62,80,44160,44544
1,0,67,80,44160,44544
2,0,57,80,44544,44928
2,0,57,80,44544,44928
1,0,60,80,44544,44928
1,0,66,80,44544,44928
1,0,69,80,44544,44928
2,0,58,80,44928,45312
2,0,58,80,44928,45312
1,0,62,80,44928,45312
1,0,67,80,44928,45696
1,0,67,80,44928,45312
1,0,60,80,45312,45696
1,0,60,80,45312,45696
1,0,60,80,45312,45696
1,0,69,80,45312,45696
2,0,58,80,45696,46080
1,0,62,80,45696,46080
1,0,62,80,45696,46080
1,0,70,80,45696,46080
2,0,51,80,46080,46848
2,0,51,80,46080,46848
1,0,67,80,46080,46848
1,0,70,80,46080,46848
1,0,79,80,46464,46848
2,0,51,80,46848,47232
2,0,51,80,46848,47232
1,0,67,80,46848,47232
1,0,72,80,46848,47232
1,0,81,80,46848,47232
2,0,50,80,47232,48000
2,0,50,80,47232,48000
1,0,67,80,47232,48000
1,0,74,80,47232,48000
1,0,82,80,47232,47616
1,0,84,80,47616,48000
2,0,50,80,48000,48384
2,0,50,80,48000,48384
1,0,66,80,48000,48384
1,0,69,80,48000,48384
1,0,86,80,48000,48384
1,0,74,80,48384,49152
2,0,58,80,48768,49152
2,0,58,80,48768,49152
1,0,67,80,48768,49152
1,0,74,80,48768,49152
2,0,57,80,49152,49536
2,0,57,80,49152,49536
2,0,57,80,49152,49536
1,0,72,80,49152,49536
1,0,74,80,49152,49536
2,0,55,80,49536,49920
2,0,55,80,49536,49920
2,0,58,80,49536,49920
1,0,70,80,49536,49920
